taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
2929550,,9150405.0,Solanum repens,Noronha,species,synonym,Solanum,repens,
3799647,,9150405.0,Solanum nigrum subhastatum,Hassl.,variety,synonym,Solanum,nigrum,subhastatum
8145659,,9150405.0,Solanum moschatum,C.Presl,species,synonym,Solanum,moschatum,
3798154,,9150405.0,Solanum peregrinum,E.P.Bicknell,species,synonym,Solanum,peregrinum,
9446726,,9150405.0,Solanum nigrum laevigatum,Lowe,variety,synonym,Solanum,nigrum,laevigatum
11021752,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) A.Braun,form,homotypic synonym,Solanum,nigrum,chlorocarpum
3799730,,9150405.0,Solanum nigrum genuinum,Hassl.,variety,synonym,Solanum,nigrum,genuinum
12162331,,9150405.0,Solanum nigrum obscurior,Murr,variety,synonym,Solanum,nigrum,obscurior
11938623,,9150405.0,Solanum nigrum dentata-villosa,Wimm. & Grab.,variety,synonym,Solanum,nigrum,dentata-villosa
3800036,,9150405.0,Solanum stenopetalum,A.Braun,species,synonym,Solanum,stenopetalum,
2932874,,9150405.0,Solanum moschatum,J.Presl,species,synonym,Solanum,moschatum,
12274602,,9150405.0,Solanum nigrum ochrocarpum,Lej.,variety,synonym,Solanum,nigrum,ochrocarpum
10910254,,9150405.0,Solanum nigrum legitimum,Neilr.,variety,synonym,Solanum,nigrum,legitimum
12344289,,9150405.0,Solanum villosum glabrescens,Opiz ex Roem. & Schult.,variety,synonym,Solanum,villosum,glabrescens
10953821,,9150405.0,Solanum nigrum judaicum,L.,variety,synonym,Solanum,nigrum,judaicum
9375731,,9150405.0,Solanum cestrifolium,Jacq.,species,homotypic synonym,Solanum,cestrifolium,
10919398,,9150405.0,Solanum nigrum macrocarpum,Schur,variety,synonym,Solanum,nigrum,macrocarpum
12006666,,9150405.0,Solanum nigrum leucocarpum,A.F.Schwarz & Schultheiß,variety,synonym,Solanum,nigrum,leucocarpum
3798689,,9150405.0,Solanum chlorocarpum,Schur,species,synonym,Solanum,chlorocarpum,
12330727,,9150405.0,Solanum morella,Desf.,species,synonym,Solanum,morella,
2932866,,9150405.0,Solanum morella,Desv.,species,synonym,Solanum,morella,
12020413,,9150405.0,Solanum nigrum vulgatum,S.Wilcke,variety,synonym,Solanum,nigrum,vulgatum
9447510,,9150405.0,Solanum nigrum velutinum,Lowe,variety,synonym,Solanum,nigrum,velutinum
3798776,,9150405.0,Solanum cechicum,Opiz,species,synonym,Solanum,cechicum,
8785115,,,Solanum nigrum uniflorum,"Miq., 1861",variety,accepted,Solanum,nigrum,uniflorum
10937312,,9150405.0,Solanum memphiticum repandum,Dunal,variety,heterotypic synonym,Solanum,memphiticum,repandum
11034591,,9150405.0,Solanum nigrum aurantium,Maire,variety,proparte synonym,Solanum,nigrum,aurantium
7941004,,9150405.0,Solanum villosum,Opiz ex Dunal,species,synonym,Solanum,villosum,
9585115,,9150405.0,Solanum decurrens,Wall.,species,homotypic synonym,Solanum,decurrens,
3802726,,9150405.0,Solanum reineggeri,Opiz,species,synonym,Solanum,reineggeri,
7482489,,9150405.0,Solanum nigrum pallidum,Wessely,form,synonym,Solanum,nigrum,pallidum
9275625,,9150405.0,Solanum vulgatum,Willd.,species,homotypic synonym,Solanum,vulgatum,
11108573,,9150405.0,Solanum vulgatum,Baumg.,species,synonym,Solanum,vulgatum,
7865114,,9150405.0,Solanum nigrum stenopetalum,Döll,variety,synonym,Solanum,nigrum,stenopetalum
9482357,,9150405.0,Solanum nigrum pterocaulos,(Dunal) Batt.,variety,synonym,Solanum,nigrum,pterocaulos
12075232,,9150405.0,Solanum nigrum vulgatum,Scholler,variety,synonym,Solanum,nigrum,vulgatum
7504205,,9150405.0,Solanum viride,Schur,species,heterotypic synonym,Solanum,viride,
12026097,,9150405.0,Solanum nigrum melanocerasum,Boenn.,variety,heterotypic synonym,Solanum,nigrum,melanocerasum
10945711,,9150405.0,Solanum hirsutum,Kit.,species,homotypic synonym,Solanum,hirsutum,
2931734,,2931031.0,Solanum canoasense,L.B.Sm. & Downs,species,synonym,Solanum,canoasense,
2930563,,2931031.0,Solanum cataractae,L.B.Sm. & Downs,species,heterotypic synonym,Solanum,cataractae,
2932273,,2929395.0,Solanum horridum repandifolium,Dunal,variety,synonym,Solanum,horridum,repandifolium
3798853,,2929395.0,Solanum horridum horridum,,variety,synonym,Solanum,horridum,horridum
9493449,,2930406.0,Solanum cyclophyllum,Pittier,species,synonym,Solanum,cyclophyllum,
2930413,,2930406.0,Solanum eshbaughianum,D' Arcy,species,synonym,Solanum,eshbaughianum,
2930408,,2930406.0,Solanum bifolium,Aubl. ex Dunal,species,synonym,Solanum,bifolium,
3801337,,2930406.0,Solanum extraaxillare,Klotzsch,species,synonym,Solanum,extraaxillare,
2930411,,2930406.0,Solanum coibae,L.Riley,species,synonym,Solanum,coibae,
2930414,,2930406.0,Solanum triste crassipes,Dunal,variety,synonym,Solanum,triste,crassipes
2929781,,2930406.0,Solanum surinamense,Steud.,species,heterotypic synonym,Solanum,surinamense,
2930410,,2930406.0,Solanum brevipedunculatum,Rusby,species,synonym,Solanum,brevipedunculatum,
2930407,,2930406.0,Solanum coarense,Sendtn.,species,synonym,Solanum,coarense,
2930412,,2930406.0,Solanum patellare,Van Heurck & Müll.Arg.,species,synonym,Solanum,patellare,
9374963,,2930406.0,Solanum cearense,Sendtn.,species,heterotypic synonym,Solanum,cearense,
8456528,,2930406.0,Solanum bifolium,Aubl.,species,homotypic synonym,Solanum,bifolium,
2929493,,2929487.0,Solanum tomentosum burchellii,(Dunal) C.H.Wright,variety,proparte synonym,Solanum,tomentosum,burchellii
10972604,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) Schur,variety,synonym,Solanum,nigrum,chlorocarpum
7911433,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) Lindm.,form,synonym,Solanum,nigrum,chlorocarpum
8309544,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) Gremli,subspecies,synonym,Solanum,nigrum,chlorocarpum
10967311,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) A.Braun ex Döll,form,synonym,Solanum,nigrum,chlorocarpum
12042440,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) Neuman,form,synonym,Solanum,nigrum,chlorocarpum
7790995,,9150405.0,Solanum nigrum chlorocarpum,(Spenn.) Arcang.,subspecies,synonym,Solanum,nigrum,chlorocarpum
2932879,,9150405.0,Solanum vulgare,(L.) Hegetschw.,species,synonym,Solanum,vulgare,
2929308,,2929299.0,Lycopersicon peruvianum,(L.) Mill.,species,synonym,Lycopersicon,peruvianum,
9364777,,9150405.0,Solanum nigrum villosissimum,(Dunal) Fiori,variety,synonym,Solanum,nigrum,villosissimum
9368005,,,Solanum nigrum humile,(Bernh. ex Willd.) Boiss.,variety,accepted,Solanum,nigrum,humile
7826830,,9150405.0,Solanum nigrum flavum,(Dunal) Rouy,variety,synonym,Solanum,nigrum,flavum
2929488,,2929487.0,Solanum burchellii schaeferi,(Dammer) Bitter,variety,synonym,Solanum,burchellii,schaeferi
2929301,,2929299.0,Lycopersicon peruvianum dentatum,(Dunal) Luckwill,subspecies,synonym,Lycopersicon,peruvianum,dentatum
6290049,,2929299.0,Lycopersicon peruvianum dentatum,(Dunal) Dunal,variety,synonym,Lycopersicon,peruvianum,dentatum
10921759,,9150405.0,Solanum vulgatum,(L.) Spenn.,species,synonym,Solanum,vulgatum,
7554393,,9150405.0,Solanum nigrum tauschii,(Opiz) Rouy,variety,synonym,Solanum,nigrum,tauschii
3799250,,2931031.0,Solanum canaosense,L.B.Sm. & Downs,species,heterotypic synonym,Solanum,canaosense,
12149839,,9150405.0,Solanum nigrum patulum,(L.) Krock.,variety,heterotypic synonym,Solanum,nigrum,patulum
12145577,,9150405.0,Solanum nigrum patulum,(L.) Pers.,subspecies,synonym,Solanum,nigrum,patulum
2932878,,9150405.0,Solanum morella nigrum,(L.) Rouy,subspecies,synonym,Solanum,morella,nigrum
2932875,,9150405.0,Solanum vulgatum nigrum,(L.) Spenn.,variety,synonym,Solanum,vulgatum,nigrum
11329020,,9150405.0,Solanum vulgatum nigrum,(L.) Spenn.,subspecies,synonym,Solanum,vulgatum,nigrum
10908771,,9150405.0,Solanum nigrum paludosum,(Dunal) Miq.,form,synonym,Solanum,nigrum,paludosum
10917402,,9150405.0,Solanum nigrum paludosum,"(Dunal) Miq., 1861",variety,heterotypic synonym,Solanum,nigrum,paludosum
8098271,,9150405.0,Solanum nigrum moschatum,(C.Presl) Arcang.,subspecies,synonym,Solanum,nigrum,moschatum
12069405,,9150405.0,Solanum nigrum memphiticum,(Mart.) Asch.,variety,synonym,Solanum,nigrum,memphiticum
10942764,,9150405.0,Solanum nigrum judaicum,(L.) Miq.,form,synonym,Solanum,nigrum,judaicum
2932869,,9150405.0,Solanum judaicum,(L.) Besser,species,synonym,Solanum,judaicum,
2929307,,2929299.0,Lycopersicon peruvianum regulare,(Dunal) Luckwill,variety,synonym,Lycopersicon,peruvianum,regulare
2929306,,2929299.0,Lycopersicon peruvianum commutatum,(Roem. & Schult.) Luckwill,subspecies,synonym,Lycopersicon,peruvianum,commutatum
2932407,,2931564.0,Solanum mandonis dryophyllum,Bitter,variety,synonym,Solanum,mandonis,dryophyllum
2932409,,2931564.0,Solanum paniculatum chulumani,Dunal,variety,synonym,Solanum,paniculatum,chulumani
3799073,,2931564.0,Solanum oporinum,Willd.,species,synonym,Solanum,oporinum,
8513866,,2931564.0,Solanum corymbosum,Banks,species,homotypic synonym,Solanum,corymbosum,
11290515,,2931564.0,Solanum mandonii carabayense,Bitter,variety,synonym,Solanum,mandonii,carabayense
2929332,,2931564.0,Solanum macrophyllum,Dunal,species,synonym,Solanum,macrophyllum,
2932410,,2931564.0,Solanum mandonis carabayense,Bitter,subspecies,synonym,Solanum,mandonis,carabayense
7435764,,2931564.0,Solanum incanum,Ruiz & Pav.,species,heterotypic synonym,Solanum,incanum,
2932408,,2931564.0,Solanum albidum poortmanii,André,variety,synonym,Solanum,albidum,poortmanii
2932405,,2931564.0,Solanum mandonis tardecalvescens,Bitter,variety,synonym,Solanum,mandonis,tardecalvescens
8293759,,2931564.0,Solanum corymbosum,Banks ex Dunal,species,synonym,Solanum,corymbosum,
8225402,,2931564.0,Solanum grandiflorum,Desf.,species,heterotypic synonym,Solanum,grandiflorum,
2929338,,2931564.0,Solanum cymosum,Ortega,species,heterotypic synonym,Solanum,cymosum,
2932406,,2931564.0,Solanum mandonis,Van Heurck & Müll.Arg.,species,synonym,Solanum,mandonis,
2932828,,2932827.0,Cyphomandra foetida,Bohs,species,synonym,Cyphomandra,foetida,
3801023,,7606757.0,Solanum athroanthum,Dunal,species,synonym,Solanum,athroanthum,
7512129,,7606757.0,Solanum densiflorum,Dunal,species,heterotypic synonym,Solanum,densiflorum,
9294490,,,Solanum vespertilio vespertilio,,subspecies,accepted,Solanum,vespertilio,vespertilio
