uuid,code,name,country,altCodes
0fb4d506-8bad-4b94-839c-23ba964a65b8,ROK,Západočeské muzeum v Plzni,CZ,[]
91b92ca1-6722-413e-9106-5d53f2c091fd,IF,Pre-Carpathian National University called after Vasyl’ Stefanyk,UA,[]
0ce1d79c-ae67-4b3f-88ea-f03d770c760b,KBL,Kelley Botanical Library,US,[]
2e75ce33-de0d-495c-8ab0-556223a78e26,ELON,Elon University,US,[]
4bb0c640-bd63-49de-8547-0a153f8ea7b1,HMSAU,Shanxi Agricultural University,CN,[]
a7d857e5-12b9-4ee9-a481-73a4c5f21c9a,HUAN,Universidad Autónoma de Nayarit,MX,[]
9c670003-3474-4bde-9a2c-6079808eba3d,HGRES,Istituto Salesiano (Scuola Agraria Salesiana),IT,[]
da4bad98-f46a-4ec2-8b9d-e6e8d7ac786f,FSUU-BIRC,Father Saturnino Urios University-Biodiversity Informatics and Research Center (FSUU-BIRC),PH,['BIRC']
007324a5-6d2f-475b-a93e-e7d6ca774fb8,UST-ZESL,"University of Santo Tomas - Zooplankton Ecology, Systematics, and Limnology Laboratory",PH,['USTZRC']
e1666b1f-f017-4a8f-8d98-a675360bed6e,USDA-ARS,USDA Agricultural Research Service (ARS),US,[]
60e918e7-a353-42e6-b995-da33e94238e0,USDA-APHIS,USDA Animal and Plant Health Inspection Service (APHIS),US,['APHI']
8da0e86c-211b-491e-b825-742a33dc0a20,USDA-NRCS,USDA Natural Resources Conservation Service (NRCS),US,[]
2954a9da-39f4-44de-b8c1-cfb1e176a81e,FNLO,Fremont National Forest,US,"['HTNF', 'SEFES', 'FNLO', 'LAGO']"
4f16cf1d-6e81-44fd-9524-1c30eead3303,PAAFR,Public Authority of Agriculture Affairs and Fish Resources,KW,[]
fed1db25-03ef-497f-b587-deeab6e99826,EHUB,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",JP,['KUPRI']
5c5e506d-5eb3-41b0-b452-2bfd77b477f4,ECESPOCH,Museo de Entomología de la Escuela Superior Politécnica del Chimborazo,EC,['ESPOCH']
c7d5c4da-9590-49c2-b87c-f0e7932611a6,BBM,Beaty Biodiversity Museum,CA,[]
1b198da4-73cd-4854-accc-022718551159,MUBIO,Museo Universitario de la Biodiversidad,EC,['MUBIO']
84580217-f488-496f-b161-2328d3593449,MBC,Madagascar Biodiversity Center,MG,[]
686cfc30-47bd-494e-81d4-2991384f363b,FHGO,Fundación Herpetológica Gustavo Orcés,EC,['COLREF']
eb6bbc59-775a-4859-9545-b680927b985f,1321,University of Indianapolis,US,[]
ad4e6e4b-62c1-46f0-a765-c0e4782d2e36,FU,Furman University,US,[]
83814b51-a827-4e9f-8eee-f16a8e4d13a1,UPV-MNS,University of the Philippines Visayas Musuem of Natural Sciences,PH,[]
801cc29b-677e-41fc-ae40-040b80dd632c,ITBVAST,Institute of Tropical Biology,VN,['ITBCZ']
d8953730-0dcb-448a-9adf-668112b3d42a,Luker,CasaLuker S.A.,CO,[]
bbe7998d-7bf4-4b86-8eb7-bed6bcd02de3,FGB,Kostrzyca Forest Gene Bank,PL,[]
e047165e-fcf6-48a4-943d-13ea6f8231c2,ESPOL,Escuela Superior Politécnica del Litoral,EC,[]
67dd5c74-a62c-49b9-bb5e-5cd5b0ef67e5,MUTN,Museo de Historia Natural de la Universidad Técnica del Norte,EC,[]
533fe09e-15f4-4f5d-b772-39c8bf5d34dd,ITS,Instituto Tecnológico Superior Sudamericano,EC,[]
b4cf893d-7c04-4682-87dc-cf84eada0e0d,ELE,University ISA,DO,[]
5d53217d-cfbb-4f2c-b50b-65ee49a11d3c,CBBG,Crested Butte Botanic Gardens,US,[]
158c8696-98e7-4c39-9e83-764b9782cccf,IJK,"St. Joseph's College (Autonomous), Irinjalakuda",IN,[]
3c9bd5e2-8769-4d76-8d25-128c02237d07,FAFU,Fujian Agriculture and Forestry University,CN,[]
250c2b18-a9b3-4b7e-a464-9ec530d96ff7,SJB,"St. Joseph's College for Women, Alappuzha, Kerala, India.",IN,[]
dc61be8a-ae00-40da-93b2-2e536937527b,GODU,Hungarian University of Agriculture and Life Sciences,HU,[]
